,Comment,Sentiment Rating
0,"  Original comment by usatowa |  Top-level comment     ---    bless gen's imitation of tsukasa.  ""looking forward to when he imitates lilian lol""    ---     This message was posted by a bot because originally submitted  outside of the Source Material Corner. ",1
1,I can't wait to see petrification  island arc,2
2,I like that it wasn't Senku coming up with an invention for once. It's good to see Chrome's innovative side coming out every now and then.,1
3,"Just as Senku said even if Tsukasa had killed him, there's always an idiot who'll try anything.",0
4,Chrome is the idiot we deserve.,0
5,"That's the biggest thing about Senku's goal. He's not satisfied with just eventually getting the world back to proper form: He wants to get there as quickly as possible, and then go beyond. Tsukasa's goals only work in the short term and would result in failure over time.",0
6,"Tsukasa also thinks that he's going to prevent war and conflict, but he's the one who tried to kill Senku.   He's the one trying to burn down a village.   He's the one taking hostages.    That's not to say Ishigami village is a utopia.   After all, it has people like Magma.   But  Tsukasa has a major God complex and he seems to believe that he can solve all problems by getting rid of science, and that's doomed to failure.    Plus, it's not like basic tools like spears, or fire, or clothing, aren't science.",0
7,"Yeah that's the same as the church trying to stop Galileo Galilei, even if you stop him the science eventually will get there",0
8,"The idea that the Catholic Church tried to hinder the advancement of Science is a myth though. Galileo was placed under house arrest because of a personal dispute with the pope. That, and he was widely hated by many of his contemporaries not for his scientific views but because he was, simply put, an asshole.     If anything, the Catholic Church was responsible for preserving much of the knowledge of the ancient world when the Western Roman Empire fell. That, and they were a major patron of the sciences and the arts. Many of its clergymen were even scientists and even until today that fact holds true.",1
9,"Maybe you are right and he was an asshole but after the dispute the church also obligated him to say that the moon is perfect, that the earth was not moving but the sun, even if he knew that it wasnt like that, and other things I dont remember because I studied it 6 years ago",2
10,"I think that was simply another way for the pope and Galileo’s other enemies to get back at him. Whenever I think of the Galileo affair I tend to remember Sheldon Cooper from the Big Bang Theory. Imagine if Leonard and co., instead of tolerating Sheldon’s behavior, decided to get him fired and succeeds in doing so.",0
11,"Then they'd be assholes for doing it.    Someone being annoying doesn't justify such drastic measures.    If they're an asshole, just don't spend time with them.",0
12,"Have you even watched the show? That would be impossible for Leonard since he’s roommates with Sheldon. Also, Sheldon during the earlier seasons was very arrogant to the point that it went beyond annoying. If Leonard and co. actually got rid of him, I wouldn’t have mind one bit.",0
13,I imagine Chrome would have been a child prodigy if he'd have been born 3700 years ago,2
14,He    is    a child prodigy.    He fucking almost harnessed electricity. That's equivalent to Tesla and Edison. Exactly how much of a child prodigy do you need to be in order to achieve that.,2
15,Agreed. He actually    is   .,1
16,And in a world with arguably way less technology.,0
17,"I mean I'm sure some people did magic tricks with static electricity, they just had no clue. I mean when I rub my pillows in the dark I can get sparks. I doubt none of that EVER happened before their era.",0
18,Dude wtf are your pillows made of?,0
19,I can get sparks from my cotton pillows too... should i fill in a customer complain?,0
20,"Pillows, blankets, sheets... it's very common to get static from them. I hate waking up with messed up hair because of static charge.",0
21,"My cat has static too, especially during the winter. I actually saw his entire fur was glowing blue at the middle of night.",2
22,What pokemon are you raising??,2
23,"To be fair, he didn't really harness electricity. He figured out that if you need to turn something continuously, you can use a constant water flow to do it. His contraption was entirely mechanical, and while extremely impressive, he'd never have figured out electricity if not for Senku.",1
24,They're talking about the static electricity he used when chrome was first trying to show off to senku,2
25,"     ??? What’s this in reference to? If it’s the static electricity ball he made, people were making batteries in the Bronze Age to hold and discharge electricity.",2
26,"Yeah, but they're in the  stone  age for all intents & purposes.",1
27,"     Except they aren't, when they've been solidly making  iron  for a while now.",2
28,He almost did that BEFORE the iron making.,2
29,"""If I have seen further it is by standing on the shoulders of Giants."" - Issac Newton.    Chrome just had the misfortune of being born in a time where the giants had been lost. Until Senku came along to lift him back up.",0
30,"He harnessed water-powered mechanical machinery. Still impressive, but not as impressive.    It's also worth noting that there are people all over who come to conclusions that accomplished scientists already came up with first. If someone on their own figured out how to make a light bulb, that wouldn't make headlines, because we already know how to make light bulbs. But if they had existed  prior  to light bulbs becoming commonplace, they'd be labeled a genius and a visionary.",1
31,What person has never seen a light bulb?,2
32,"None. I think you're missing my point on purpose. The point is that there are concepts and developments people might never have explained to them, but if they discover them on their own, they aren't treated as geniuses because redundant discoveries aren't seen as breakthroughs. Which means we have probably ignored a lot of ""genius"" over the years.",0
33,I understood the point was just making a joke about the use of a person not seeing a lightbulb as an example. I think you were missing that on purpose though.,2
