,Comment,Sentiment Rating
0,"I've just read the chapters shown in this episode today. Seems like we'll be finishing the season with  ""his dad's record and Lilian's song?""    Kind of a shame the season is ending, since we won't see the phone in use yet.    They also tease us Tsukasa's companions, Nikki?",0
1,"When the old OP started playing I was scared that it was the end of the episode and or season. Happily I was wrong.    And never skip arm day, that Ginro catch can only be preformed by the people willing to dedicate to their entire life to guard sitting.",0
2,"     Yeah, that bit there felt like a season finale.",1
3,Someone should convince them to greenlight a second season by telling them that it promotes interest in science.     chitosesmug,1
4,"Well there's an ""important announcement"" in next week's JUMP so it's probably happening.",1
5,Is it doing well? I love this show.,1
6,"I subscribed to Shonen Jump just to read the manga week to week, so it better be doing good.",1
7,you can read the lastest chapters from their official app.,2
8,Not sure.  But Jump is running a spin-off manga about Senku's father alongside Dr. Stone.  My Hero Academia also has a spin-off manga running.    My guess is the Dr. Stone anime and manga are doing quite well.,1
9,"sales are below all the flagship jump titles, and it only overtook Black Clover with the anime boost. However, the editorial staff seems to like it so it should be pretty safe. Also Jump can't really afford to cancel relatively successful series at the moment.",1
10,Don't know if they will have enough material since there is just one arc after this before we get to the ongoing manga arc.    Possibly they could start it in summer or fall 2020.,2
11,theres just over a season's worth more to adapt right now manga wise,1
12,"And if they don't start production immediately, which is common as far as I understand, there's plenty of time for new chapters to be released as well.",1
13,"late reply, but this episode ends at the end of chapter 58 of the manga, with the next episode probably ending at the end of chapter 60.    The manga itself is currently at chapter 132. There is quite enough material for a two cour season two.",2
14,"There’s still a lot to cover of just the stone wars, and one episode left this season if I’m not mistaken. Unless they rush we’re going to be left with a cliffhanger and won’t even wrap this arc up UNTIL season 2, and the manga will be another while ahead of the anime once again with probably another full arc completed and ready to start on.",2
15,HXH GETS NEW SEASON EEEEEEEHHHHH    jk,1
16,"I mean, when you think about it, isn't the anime just on a giant... hiatus ...?",2
17,"Hope its not a ""final manga arc""",1
18,Inagaki said 3 more years about 2 weeks ago so ur fine,1
19,Season 2 = Justice,1
20,"I flicked my mouse to see remaining time, it seemed that clean a transition into credits.",1
21,Just a training montage thankfully,1
