,Comment,Sentiment Rating
0,"Wow, that mentalist on the cover of that book one of those guys was reading seems like a pretty cool guy. He looks like he likes Coke too.",1
1,"It’s interesting how he has been in the opening, so viewers may recognize him, where readers are not likely to pay much attention to him. Cool foreshadowing either way.",1
2,I didn't notice until I went back because I felt I read the first couple of issues real quick. Nice to go back.,1
3,"""that book's absolute trash"" I love how Senku shit-talks him this early",1
4,"Does the pacing seem inappropriate for anime to anyone else? I feel like the anime is taking forever  ""to get to the island, what I would consider where the story starts to really pick up. I really feel like for the anime we should have gotten to the island by episode 5 for the record that's a pace of about 4 chapters per episode the island is introduced in chapter 20.""      ""I know the pacing is about the same as the manga, but I just don't feel like it works for the anime quite as well. At this pace we may not even meet Kohaku till episode 7 or even 8. And I think that's a real shame. That's over half the cour without even introducing one of the main characters. I'm not saying we need JoJo's 4 chapters per episode all the time but maybe to at least introduce the real heroine and the excellent supporting cast pretty early on?""    But what do you guys think? I definitely am still enjoying the anime a lot, probably a solid 810 for me right now, I just feel like with some adjustments to the pacing it could be amazing.",1
5,I think that it's just this part of the manga that was slow. The anime adapts 3 chapters per episode. I didn't think we were going to be finished with the prologue in just 5 episodes.,2
6,Yeah pacing does seem kinda slow tbh.,1
7,"It's the same pacing as the manga as you said, but this set up is absolutely important as it sets up everything to come.",1
8,"I was waiting for the senku's eye number counter expression while calculating those seconds, but that didn't happen.... but we get a super shiny monkey, so everything's alright XD",1
9,It also lacks the outward zoom to earth when he lit fire for the first time. It was breathraking in the manga. Oh well,0
10,They sure like to tease us after Senku's aparent dead and then half the episode being about his awakening and first days in the Stone world.    P.s: That free style rap from when he was crafting the tools… fucking amazing.,1
11,"Yeah, like at least finish the episode with him opening his eyes! It is not like anyone is still thinking that he is dead.",1
12,"Well, he never closed them though.     cantbehelped",1
13,Wow I never noticed that his eyes were open the whole time,1
14,"People's eyes don't close when they die, so that doesn't really prove much.     Obviously he's not dead, but that's just not a key to him being alive.",1
15,They are saying when he wakes his eyes will be very dry,2
16,10 Billion percent drier eyes,2
17,bet you can use this for science somehow,2
18,"Got dry, itchy eyes? Clear it up, with clear eyes.",1
19,not if it's raining though.,2
20,Didn't realize that Taiju was related to Chew.,2
21,Is this a reference to the comic?,2
22,It's a reference to this motherflipper.,2
23,...Oh. Not the comic then.,2
24,Lmao that lippy boi from one piece,1
25,"Important to note that his name is ""Chu"" as in the kissing soundonomatopoeia in Japan.",1
26,Are you sure? I don't have the databook myself but Chew was the referenced official romanized spelling when I checked.,1
27,"I checked Artur's Vivre card translations and indeed, his name was written as ""Chew"", though much like ""Level Li"" I take Oda's Romanizations with a grain of salt.",1
28,"It's pretty obvious they're gonna bring him back but damn, I didn't expect him to stay dead for an entire episode. That's 2 whole weeks of dead Senkuu!",0
29,"I didn’t expect him to take a chop to the neck like that, and then have there be a meaningful explanation to explain how he’s going to live it. The dude who made this manga is playing 5d chess and I love it",1
30,"I mean, I love the manga, I love the anime, I love Senku and this might sound rude but it bothers me how you feel like this level of planning ahead is 5d chess when it's nothing compared to actual 5d chess stories.",1
31,It’s a hyperbole but this is still really good   storyboarding   writing,1
32,Storyboarding? What does that have to do with it?,2
33,the other reply to my comment sums what i mean nicely. No need to read so much into this lol      ,1
34,There was no logical way he could have justified Senku surviving that blow. So Inagaki sensei used the only thing not explained by science that exists in the manga to save Senku. Just amazing.     Sasuga Inagaki sama,1
35,exactly my point rt,2
36,"Plot twist: Senkuu got isekai'd, but it's the exact same world only a few months earlier.    YOU NEVER EXPECT THE ISEKAI TWIST",2
37,Subaru every time he dies.,2
38,and that's why Subaru and Senku shares the same voice,1
39,I love   Emilia   science,1
40,"Omfg, how have I been watching anime for this long and still be this bad at Japanese voices. Like I've nearly been watching anime as a full weeb for over a decade, c'mon man, this is 10 billion percent embarrassing",0
41,  insert witch sound ,0
42,They invent a bus just so he can get hit by one to get sent into the isekai,2
43,"He can't be isekai'd. He hasn't reinvented the automobile yet, much less truck-kun.",2
44,"Could be him in spirit or something, Gurren Lagann had Kamina in the OPs too",1
45,"I need that freaking rap, the whole OST is gold.",0
46,"This was unexpectedly, to me at least, the best episode so far. I'm not usually a fan of flashback episodes, but this fit in perfectly timing wise, and answered a few plot questions from the first episode that I forgot I had.",1
47,I liked the monkeys mocking him.,2
48,The flashback isn't over! So look forward to that.,2
49,and they didn't even explain why he still has some rock on his neck left over. did he put it there? did he just leave it there?,0
50,I'm guessing he left it there because it wasn't really an issue besides him constantly cracking his neck maybe?,2
51,I guess a little armor on a weak point is better than no armor at all.,0
52,"He left it there. They just recently discovered the miracle water and considering its limited supply, I guess he didn't think it was worth it to use it on a minor inconvenience.",1
53,I like they foreshadow that not all of the body will become unpetrified with her foot.,1
54,most everyone so far has had some. yuzuriha had some on her leg or foot and tsukasa has some on his hair.,2
55,Free style rap? What?,1
56,Rap was by Hybrid Thoughts..they were also on the Kekkai Sensen and Beyond OST,2
57,"Yeah I didn't need half an episode of flashbacks, I already filled in that blank spot in my mind.",1
58,"     I really didn't like how they ""re-arranged"" this, why isn't this in like episode 1 you know. I'm trying to see the point, but meh, they just ruin the adrenaline and emotional impact in reviving Senku.",0
59,"There is a really good reason for the flashback to be placed at this point and time, you'll see next episode.",1
60,"Honestly, this is how it was in the manga too. It'll all be explained no worries. Promise.",1
61,"I quite like the idea and everything, but the conflict feels just way to forced that I can not laugh  at it.",0
