,Comment,Sentiment Rating
0,I can't wait until chapter 115 gets animated. Byakuya is the best dad in manga anime for me.,1
1,That chapter fucking killed me.,1
2,You are not alone. That one put him really up there as of of the best parents.,1
3,"For some strange reason, I didn't get emotional about the founding of Ishigami Village. Might be because it was ""eventual"" in the back of my mind.    But the glass record? That was mad brilliant    And the platinum? That was really touching. Senku touching on the difficulty of the task before expounding on the sum result really hammered it home for me.",1
4,Also where do y’all think they’ll leave off? After the tsukasa fight?,2
5,"Definitely not, 7 episodes left is too little    My take is up to Ch 66 or 67. ie After the cellphone business is ""done"" to a point    Here, phone is delivered to Taiju and Yuzuriha; Nicky is recruited; Chrome is captured and Senku gives the marching order to Ishigami Village while preparing to make a car. It may be mid-arc, but it's a good stopping point actually.",1
6,Damn so it’ll need at least 3 seasons,2
7,"Well, they could probably wrap the war in another 12 eps after that, and then maybe build up to the treasure island arc by the end of a second 24 eps.",1
8,So the two who went to the find medicine are the ancestors to the Islanders we are currently fighting now?,2
9,"No, they most likely died on the way. The people in Ishigami village are travelers from the astronaut island thousands of years later.    Edit: just realized you meant the treasure island. In that case yes.",2
10,Can’t wait to see current island arc adapted,1
11,"  Original comment by  u SI7Rus |  Parent comment   r anime comments dmy9sy dr stone episode 17 discussion f56lf4l      ---    Firearms are for kids. I don't know if you read the manga, so I'm not giving exact details but if senku really wanted to kill tsukasa he'd be dead within days. It's only gonna get crazy from here. Get excited lol    ---     This message was posted by a bot because originally submitted  outside of the Source Material Corner. ",3
12,Possible location of Astronaut Island according to the official translator is at Hachijo-Kojima     ,2
13,"I mean the disc was discovered during the  ""Cellphone arc when they make the speaker"" ",2
14,"Oh, so it's later. I thought it was right after they visit the cemetery.",2
15,"So I guess the two who took the boat to the mainland never came back? I never really paid it that much mind when I first read it, but that seems to be what happens here?",2
16,The real question is why did they BOTH go... they were both doctors too... NotLikeThis.,2
17,Now that you mention it! I am wondering too!,1
18,"They realized that having kids is hell, dipped to the mainland to enjoy all the luxuries left behind, and for some  other business  as well..        datass ",1
19,"  This whole past flashback  arc is maddening as hell screws up everything that we assumed logically happened      The whole point of the anime is that -      ok that the jojo character of master enemy was one over the top exaggeration, but at least we had it only for 2 episodes and disappeared which is also a good and really bad thing it its own      But then we got back to logical deductive Sherlockian stuff     -And now we have that 6 dudes repopulated earth    Wait not 6 actually only 4 in the end? cuz in their universe astronauts are not filled up with antibiotics reserves when go to space...      -On the other side of the world, cuz they clearly said in south america...    So how the fuck they got in japan on one island only? they only spoke of it at end barely but not rly matches  up with what we got here now     ;    At least we got it why half the girls have weird strabism  eyes if not hereditary cuz yah their ancestors had same shit ""design"" for eyes .          inbreading does that to you...       if even wasn't hereditary       so yah one thing is logically plausible finally!",1
20,ok lets start    6 people can definitely repopulate the earth.    international space station = large gene pool  actually larger genepool the native populations of the world. aboriginals. native americans etc actually had a smaller genepool so surprise  senku would be more related to gen then to kohaku even if byaku was his blood father.    and also a small gene pool  and by extension inbreeding  wouldn't affect humans nearly as badly as other animals.    biggest issue is environmental changes screwing over the population as no indivuals have a trait to survive the environmental change well humans solved this issue   we are not built to handle cold at all but we made clothes  our ability to make stuff and build shelter fixes this issue.    now issues with inbreeding. surprisingly the show accidently  or on purpose  covered their bases really well.  As long as the parents are not predisposed to genetic illnesses.birth defects are actually really unlikely. also the chances of genetic disorders appearing via inbreeding is way exaggerated assume u had a clone that was genetically identical to you but female  only the sex chromosome changed  say your have an avg predisposure to genetic disorders and you fucked said clone and had a child. your chances of having a totally normal baby is 999 1000 99.9% NANI YEP totally fine. this is a 20   increase in chance but its still 20   a really small chance. now breeding between siblengs increases the chance of a child suffering genetic disorders by 10   so 1999 2000 babies will be healthy.     ;    wow right     ;    then consider that astronauts are all genetically screened for any genetic illness that appears more then once in 100000 births. that base is pretty damn well covered.     ;    now if you pay attention the shamil guy said that the best bet is to land in japan and thats what they tried to do. instead he missed so plans changed and they needed o get to an island instead chances are future generations slowly island hopped to japan thanks to the stories left behind,2
21,"Almost everything you said sounds convincing except the last bit is wrong. Byakuya said he was aiming for South America to figure out what caused the petrification, but they missed by a great distance, though this distance probably means they landed in the sea near South America, not Japan. They got to an island near South America and Byakuya somehow planned the future generations going to Japan with his stories.",1
22,No they decided in the end that they would gp fpr japan a large margin dosent mean the opposite side of the world lmao,1
23,"Just checked, byakuya says he's going to South America and then the older blonde guy is trying to convince him to go to Japan. Since there's no line suggesting he changed his mind, it probably means they agreed on South America as the target.",2
24,Go to the 7 min mark and they said they landed on the island which was farthest away from the petrification beam which originated in South America,2
25,"No, in the subs I watched it said they 'missed by a great distance'. Doesn't mean it was the other side of the world.",2
26,Weren't they discussing that maybe in places far away from the origin of the petrification people were still alive?    I think it was in Japan since when they saw a person after they landed then thought he was still alive for a split second because they were in Japan but after seeing the person still petrified they gave up hope about anyone else being alive as they were in Japan.,2
27,"I watched twice and this is what I got:    -     -     -     -     -     I think that means they landed in the sea around South America, dunno. There's nothing concrete saying they landed in Japan. In fact, Byakuya said something about trying to get them close to Senku with the stories, so it sounds like they aren't very close to Senku Japan. They can migrate that far over 3700 years, they have just enough knowledge of the past to help them.",2
28,"Not sure about anime, but in the manga it states they landed on an uninhabited island ""as far from the light source as possible""",2
29,"Oh, that sort of clears things up. But didn't Byakuya say something about sending his descendants Senku's way?",1
30,yes but its pretty damn hard to get from south america to japan thats literally on the other side of the world also massive ass continent to miss and islands would be one hell of a stretch away given context they chose to land on japan. shamil is the one who ended up going down first so chances are he had the final say in where to land,2
31,"I know, but it's possible over 3700 years. Maybe Byakuya instructed them to migrate and they did so bit by bit.",2
